Case ID,Narrative Link.x,caseid_name,TIES,TIES_code,PIIE,PIIE_code,GSDB,GSDB_code,ccode_target,state2,sender1,sender2,primarysender,institution,institutionid,startmonth,startday,startyear,endmonth,endday,endyear,ongoingasofmonth,ongoingasofday,ongoingasofyear,duration,verified,10,issue2,econ_issue,nonecon_issue,threatsanct,threatsanct_type,imposesanct,imposesanct_type,diplomatic,democracy_target,UNSC,human_rights,severity_CES,anticSender_CES,anticTarget_CES,SenderCost_CES,TargetCost_TWL,smart_TIES,smart_CES,sancimpositionstartmonth,sancimpositionstartday,sancimpositionstartyear,finaloutcome,sendersettlenature,tgtsettlenature,targetcapitulate,chinaoutcome,success,PRC_leader,PRCleader_1,,,,,,,,,,,,,,,,,,,,
200312710450,https://documents-dds-ny.un.org/doc/UNDOC/GEN/N03/669/60/PDF/N0366960.pdf?OpenElement,UNSC: Liberia EP4,0,.,0,,1,596,450,Liberia,710,2,2,1,4400,12,22,2003,6,16,2006,,,,907,1,2,,0,1,1,,1,,0,0,1,0,3,1,1,1,1,1,1,,,,10,9,1,1,8,1,Jiang Zemin,4,,,,,,,,,,,,,,,,,,,,
2004041471020,https://docs.google.com/document/d/1P_euAmMlkdziXd4xYcn5sNrJdr_JSBxxX6bJYEp4Gwo/export?format=pdf,Dalai Lama Visits Canada 2004,0,.,0,,1,125,20,Canada,710,,710,0,,4,14,2004,,,2004,,,,,1,10,,0,1,1,"1,3",0,0,1,1,0,0,2,1,1,1,1,1,1,,,,8,4,6,0,-2,0,Jiang Zemin,4,,,,,,,,,,,,,,,,,,,,
200411710437,https://documents-dds-ny.un.org/doc/UNDOC/GEN/N04/607/37/PDF/N0460737.pdf?OpenElement,UNSC: Côte d'Ivoire EP1,0,.,0,,1,227,437,Cote DIvoire,710,220,220,1,4400,11,15,2004,2,1,2005,,,,78,1,2,,0,1,1,,1,,0,0,1,0,3,1,1,1,1,1,1,,,,10,3,7,0,-5,1,Jiang Zemin,4,,,,,,,,,,,,,,,,,,,,
200406710645,https://documents-dds-ny.un.org/doc/UNDOC/GEN/N04/381/16/PDF/N0438116.pdf?OpenElement,UNSC: Iraq EP3,0,.,0,,1,506,645,Iraq,710,2,2,1,4400,6,8,2004,,,,7,31,2022,6627,1,2,,0,1,1,,1,,0,0,1,0,10,1,3,1,3,1,0,,,,7,6,4,0,2,1,Jiang Zemin,4,,,,,,,,,,,,,,,,,,,,
200502710437,https://documents-dds-ny.un.org/doc/UNDOC/GEN/N05/226/40/PDF/N0522640.pdf?OpenElement,UNSC: Côte d'Ivoire EP2,0,.,0,,1,228,437,Cote DIvoire,710,220,220,1,4400,2,1,2005,12,15,2005,,,,317,1,2,,0,1,1,,1,,0,0,1,0,3,1,1,1,1,0,0,,,,10,3,7,0,-3,1,Hu Jintao,5,,,,,,,,,,,,,,,,,,,,
200504710490,https://documents-dds-ny.un.org/doc/UNDOC/GEN/N05/312/21/PDF/N0531221.pdf?OpenElement,UNSC: DRC EP2,0,.,0,,1,210,490,"Congo, Democratic Republic of (Zaire)",710,220,220,1,4400,4,18,2005,3,31,2008,,,,1078,1,2,,0,1,1,,1,,0,0,1,0,6,1,2,1,2,1,1,,,,9,7,3,1,5,1,Hu Jintao,5,,,,,,,,,,,,,,,,,,,,
200510710660,https://documents-dds-ny.un.org/doc/UNDOC/GEN/N05/579/61/PDF/N0557961.pdf?OpenElement,UNSC: Lebanon EP1,0,.,0,,1,,660,Lebanon,710,2,2,1,4400,10,31,2005,,,,7,31,2022,6117,1,15,,0,1,1,,1,"7,9",0,1,1,0,2,1,1,1,1,1,1,,,,10,7,3,1,4,0,Hu Jintao,5,,,,,,,,,,,,,,,,,,,,
200606710020,https://docs.google.com/document/d/1Xdd_ovoy0Q2DsiMdF1Mul-syHoHsAVZFlxuBTYPXpT0/export?format=pdf,Canada honors Dalai Lama,0,,0,,0,,20,Canada,710,,710,0,,6,22,2006,,,,,,,,0,10,,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,,,,4,5,5,0,0,0,Hu Jintao,5,,,,,,,,,,,,,,,,,,,,
200607710731,https://documents.un.org/doc/undoc/gen/n06/572/07/pdf/n0657207.pdf?token=4Oph4JfyXGaBUmQLQh&fe=true,UNSC: DPRK EP2,0,,0,,1,545,731,"Korea, People's Republic of",710,2,2,1,4400,7,15,2006,,,,7,31,2022,,1,,,0,1,0,,0,,0,0,1,0,8,1,3,1,3,0,0,,,,9,5,5,1,0,0,Hu Jintao,5,,,,,,,,,,,,,,,,,,,,
200612710630,https://documents-dds-ny.un.org/doc/UNDOC/GEN/N06/681/42/PDF/N0668142.pdf?OpenElement,UNSC: Iran EP1,0,.,0,,1,487,630,Iran (Persia),710,2,2,1,4400,12,23,2006,3,24,2007,,,,91,1,6,,0,1,1,,1,,0,0,1,0,1,1,1,1,1,1,1,,,,6,6,4,0,2,1,Hu Jintao,5,,,,,,,,,,,,,,,,,,,,
200606710450,https://documents-dds-ny.un.org/doc/UNDOC/GEN/N06/392/20/PDF/N0639220.pdf?OpenElement,UNSC: Liberia EP5,0,.,0,,0,,450,Liberia,710,2,2,1,4400,6,16,2006,4,19,2018,,,,4325,1,2,,0,1,1,,1,,0,0,1,0,5,1,2,1,2,1,1,,,,10,8,2,1,6,1,Hu Jintao,5,,,,,,,,,,,,,,,,,,,,
200610710002,https://www.wto.org/english/tratop_e/dispu_e/cases_e/ds368_e.htm,WTO: China Challenges US over Coated Free Sheet Paper,0,,0,0,9,14,2007,,,,United States,China,,,,2,,,,,1,4580,,,13,,,,1,1,,,,3,,,,,,,1,,,,1,,,1,,,,6,3,,,,,,,1,,,,1,,,,9,,,,,,
200704710816,https://docs.google.com/document/d/1hLaY6xzOt4LDBP9wG2MhWB6FWHu24XH_iQKU8xE3I-I/export?format=pdf,BP Halts Oil Exploration,0,,0,,0,,816,"Vietnam, Democratic Republic of",710,,710,0,,4,12,2007,6,13,2007,,,,641,0,5,15,0,0,1,1,0,,0,0,0,0,3,1,1,1,1,0,1,,,,9,5,5,0,0,0,Hu Jintao,5,https://docs.google.com/document/d/1hLaY6xzOt4LDBP9wG2MhWB6FWHu24XH_iQKU8xE3I-I/edit?usp=sharing,BP Halts Oil Exploration,,x,,,,,,,,,,,,,,,,
200709710305,https://docs.google.com/document/d/1aKggUIDidkk0XhtuRhB3fKSC_bcdQiGnoU77t9f_tGo/export?format=pdf,Dalai Lama Visits Austria 2007,0,,0,,0,,305,Austria,710,,710,0,,9,,2007,,,,,,,396,0,10,,0,0,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,,,,4,5,5,0,0,0,Hu Jintao,5,https://docs.google.com/document/d/1aKggUIDidkk0XhtuRhB3fKSC_bcdQiGnoU77t9f_tGo/edit?usp=sharing,Dalai Lama Visits Austria 2007,,x,,,,,,,,,,,,,,,,
