Case ID,Narrative Link,caseid_name,TIES,TIES_code,PIIE,PIIE_code,GSDB,GSDB_code,ccode_target,state2,sender1,sender2,primarysender,institution,institutionid,startmonth,startday,startyear,endmonth,endday,endyear,ongoingasofmonth,ongoingasofday,ongoingasofyear,duration,verified,10,issue2,econ_issue,nonecon_issue,threatsanct,threatsanct_type,imposesanct,imposesanct_type,diplomatic,democracy_target,UNSC,Tibet,Taiwan,human_rights,severity_CES,anticSender_CES,anticTarget_CES,SenderCost_CES,TargetCost_TWL,smart_TIES,smart_CES,sancimpositionstartmonth,sancimpositionstartday,sancimpositionstartyear,finaloutcome,sendersettlenature,tgtsettlenature,targetcapitulate,chinaoutcome,success,PRC_leader,PRCleader_1,China_Target_MID,China_Initiator_MID
201601710713,https://docs.google.com/document/d/11CWItjt5VQtHelY9ZY2F-P54zcLnh-2KDNCWk2E-ec4/edit?usp=sharing,China sanctions Taiwan following Pro-Democracy election,0,.,0,,0,,713,Taiwan,710,,710,0,,1,,2016,,,,,,,,1,3,5,0,1,0,1,1,8,0,1,0,0,1,0,3,1,2,1,1,1,1,1,,2016,9,5,5,0,0,0,Xi Jinping,6,0,0
201204710840,https://drive.google.com/file/d/13nsjZIxBIWW4c8ls255HsmVIBvwaMxZB/view?usp=sharing,China Sanctions the Philippines for Attempted Arrest of Chinese Fishers in Disputed Waters,0,.,0,,0,,840,Philippines,710,,710,0,,4,10,2012,,,,10,20,2016,1654,0,4,5,0,1,0,1,1,"3, 9",1,1,0,0,0,0,6,1,2,1,2,1,1,5,,2012,9,7,3,0,4,0,Hu Jintao,5,0,0
201610710317,https://docs.google.com/document/d/1DkHwr8R1mAgUAziMsFaHvPxf00wSDLC6QaT7bHL4vxM/edit,China Slovakia Threat,0,,0,,0,,317,Slovakia,710,,710,0,,10,17,2016,,,,,,,,0,10,,0,0,1,,0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,,,,4,5,5,0,0,0,Xi Jinping,6,0,0
199712710002,https://drive.google.com/file/d/1C2iuuhpevdh5QuCLKxbgHkRCDIaMIg9T/view?usp=sharing,China USA Anti-Dumping (Paper),1,1997121101,0,,0,,2,United States of America,710,,710,0,,12,11,1997,,,,6,30,2004,2393,1,13,,1,0,1,4,1,3,1,1,0,1,1,0,2,1,1,1,1,1,1,12,11,1997,8,5,5,0,0,0,Jiang Zemin,4,0,0
200447102,https://drive.google.com/file/d/1HbSSRMFK-5yC2YUJ5lrKWp979yw0htBE/view?usp=sharing,China USA Dalai Lama I,0,.,0,,0,,2,United States of America,710,,710,0,,4,14,2004,,,,,,,,0,10,,0,1,1,,0,0,,1,0,1,0,0,1,1,1,1,1,,,,,,4,5,5,0,0,0,Jiang Zemin,4,,
199104710002,https://drive.google.com/file/d/1o5fXr8nL-QcRtyBViHt9mf70k9PfFmfa/view?usp=sharing,China USA MFN Dispute I,1,1991042501,0,,0,,2,United States of America,710,,710,0,,4,25,1991,1,16,1992,,,,266,1,13,,1,0,1,4,0,0,0,1,0,1,1,0,2,1,1,1,1,1,1,,,,5,5,5,1,0,1,Jiang Zemin,4,0,0
199611710002,https://drive.google.com/file/d/1mYGu5_9u4m2LEZZ6Qsss1ot8liy4IbbO/view?usp=sharing,China USA Textile II,1,1996110901,0,,0,,2,United States of America,710,,710,0,0,11,9,1996,12,8,1996,,,,29,1,13,,1,0,1,4,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,11,9,1996,5,2,8,0,-6,1,Jiang Zemin,4,0,0
199604710816,https://docs.google.com/document/d/1fy6q91Ic0Jmqj_mXBa-SRkKseXHHp1GE/edit,China-Vietnam Oil Exploration Dispute,0,.,0,,0,,816,"Vietnam, Democratic Republic of",710,,710,0,,4,,1996,,,,4,23,1996,22,0,5,15,0,0,1,1,0,,0,0,0,0,0,0,3,1,1,1,1,0,1,,,,9,5,5,0,0,0,Jiang Zemin,4,0,0
201405710816,https://drive.google.com/file/d/1dwxbfRVLvgCH2ph_CnAlf6XL-Abo7MVy/view?usp=sharing,Chinese Tensions with Vietnam over Chinese Oil Rig Near Disputed Waters,0,.,0,,0,,816,"Vietnam, Democratic Republic of",710,,710,0,,5,2,2014,,,,7,31,2022,3012,0,5,,1,0,0,,1,10,0,0,0,0,0,0,5,1,1,1,1,1,0,6,,2014,8,0,0,0,0,0,Xi Jinping,6,0,1
201900710316,https://docs.google.com/document/d/1KcLK78RIqnM4wR-JgKbNEu2ez52jY7pieS2Y2hrwiII/edit?usp=sharing,Czech Senate Support for Taiwan,0,.,0,,0,,316,Czech Republic,710,,710,0,,,,2019,,,,,,2020,365,1,7,,0,1,1,1,1,10,1,1,0,0,0,1,2,1,1,1,1,1,1,,,2019,9,4,6,0,-2,0,Xi Jinping,6,0,0
2016097101653,https://docs.google.com/document/d/1EkeafVXH_IuZyfR7Q5KB2ckHW_fN4Iq1smj0WP1EHg4/edit,Dalai Lama (EU),0,,0,,0,,1653,EU,710,,710,0,,9,19,2016,,,,,,,,1,10,,0,1,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,,,,4,5,5,0,0,0,Xi Jinping,1,0,0
200211710712,https://docs.google.com/document/d/1VtKtGsCfCT6zfnb9BlWYMhm36pQVTxvOa5DQCnkICYQ/edit,Dalai Lama (Mongolia) I,0,.,0,,0,,712,Mongolia,710,,710,0,,11,5,2002,11,7,2002,,,,2,1,10,,0,1,1,0,1,2,1,1,0,1,0,0,2,1,1,1,1,1,1,11,5,2002,8,4,6,0,-2,0,Jiang Zemin,4,0,0
20079710305,https://docs.google.com/document/d/1aKggUIDidkk0XhtuRhB3fKSC_bcdQiGnoU77t9f_tGo/edit,Dalai Lama Visit (Austria),0,,0,,0,,305,Austria,710,,710,0,,9,,2007,,,,,,,396,0,10,,0,0,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,,,,4,5,5,0,0,0,Hu Jintao,5,0,0
2004471020,https://docs.google.com/document/d/1P_euAmMlkdziXd4xYcn5sNrJdr_JSBxxX6bJYEp4Gwo/edit,Dalai Lama Visit (Canada) I,0,.,0,,1,125,20,Canada,710,,710,0,,4,14,2004,,,2004,,,,,1,10,,0,1,1,"1,3",0,0,1,1,0,1,0,0,2,1,1,1,1,1,1,,,,8,4,6,0,-2,0,Jiang Zemin,4,0,0
20060671020,https://docs.google.com/document/d/1Xdd_ovoy0Q2DsiMdF1Mul-syHoHsAVZFlxuBTYPXpT0/edit,Dalai Lama Visit (Canada) II,0,,0,,0,,20,Canada,710,,710,0,,6,22,2006,,,,,,,,0,10,,0,1,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,,,,4,5,5,0,0,0,Hu Jintao,5,0,0
20079710260,https://docs.google.com/document/d/1TIQCbXn5WPqyKiegyUQTWfX6T4nBV3hwoPNtJmfqOfc/edit,Dalai Lama Visit (Germany),0,,0,,0,,260,German Federal Republic,710,,710,0,,9,,2007,9,,2008,,,,366,1,10,,0,0,1,1,1,3,0,1,0,1,0,0,1,1,1,1,1,0,0,9,,2007,7,8,2,1,6,1,Hu Jintao,5,0,0
201611710712,https://docs.google.com/document/d/1TYjdtfg6Yo7N7wiAqQDh1R5e3FQXmjYc0oSZodmSw2E/edit,Dalai Lama: Mongolia II,0,,0,,0,,712,Mongolia,710,,710,0,,11,25,2016,,,,1,24,2017,60,0,10,,0,0,1,1,1,"3,8",0,1,0,1,0,0,1,1,1,1,1,0,0,11,24,2016,6,9,1,1,8,1,Xi Jinping,6,0,0
201904710020,https://docs.google.com/document/d/1VlOUUUY3EzsYkO6_6Onna3es-NZW3ycbxUGDInbxB8Y/edit,Embargo on Canadian soybeans,0,.,0,,0,,20,Canada,710,,710,0,,4,29,2019,,,,9,22,2020,512,1,4,,0,1,0,1,1,4,1,1,0,0,0,0,5,1,1,1,1,1,1,,,2019,9,5,5,0,0,0,Xi Jinping,6,0,0
20087710816,https://docs.google.com/document/d/1v_XN5aRdOZnJkR2pZHG8zYtTzOC7820VWgXtxMay-wk/edit,ExxonMobil Vietnam Co-operation,0,,0,,0,,816,"Vietnam, Democratic Republic of",710,,710,0,,7,22,2008,,,,,,,,0,5,15,0,1,1,10,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,,,,4,5,5,0,0,0,Hu Jintao,5,0,0
199108710220,https://docs.google.com/document/d/1T6POdGIDn2VGz9Ji9sfxjJ6REGqHqFpXECEuSXmYntw/edit?usp=sharing,France Taiwan Arms Sales,0,.,0,,1,350,220,France,710,,710,0,,8,,1991,1,,1994,,,,884,1,9,5,0,1,0,1,1,9,1,1,0,1,1,0,5,1,1,1,1,1,1,,,1991,6,6,4,1,2,1,Jiang Zemin,4,0,0
200812710220,https://docs.google.com/document/d/1aHjnMLagEeEC6XEqMY-T-Io5Q66n2_vAaI_3muHVYE0/edit?usp=sharing,French Dalai Lama Visit,0,.,0,,0,,220,France,710,,710,0,,12,,2008,11,,2009,,,,335,0,10,,0,1,1,1,1,3,0,1,0,1,0,0,2,1,1,1,1,0,0,12,,2008,7,5,5,1,0,1,Hu Jintao,5,0,0
201910710002,https://docs.google.com/document/d/18kM9S5IgGUCKaZsOM0cBGDZIdMaYIM1_ZSVbctbiNo8/edit?usp=sharing,Houston Rocket sanctions,0,.,0,,0,,2,United States of America,710,,710,0,,10,4,2019,,,2019,,,,,1,15,,0,1,0,0,1,4,0,1,0,0,1,1,1,1,1,1,1,1,1,10,,2019,6,6,4,1,2,1,Xi Jinping,1,0,0
198208710002,https://drive.google.com/file/d/19T2M6LdUzmqQLN_-Md-xyXFHXkgqolJX/view?usp=sharing,Hu Na Asylum,0,.,0,,0,,2,United States of America,710,,710,0,,8,17,1982,,,1984,,,,,1,10,15,0,1,1,10,0,0,1,1,0,0,1,1,2,1,1,1,1,1,1,4,,1983,4,5,5,0,0,0,Deng Xiaoping,3,0,0
195811710820,https://docs.google.com/document/d/1a6G-lPeHoPKfljpSkhRwyu2hxzRazronknN6KiWsGq0/edit,Malaysian Rubber,1,1958112101,0,,0,,820,Malaysia,710,,710,0,,11,21,1958,2,4,1959,,,,75,1,13,7,1,0,1,3,1,1,1,1,0,0,0,0,10,3,3,3,3,1,0,11,?,1958,10,8,4,1,4,1,Mao Zedong,1,0,0
198100710210,https://docs.google.com/document/d/16udWqm2OshLXgBfF0kezv69fVSyiDTWg_LztoHq4wG8/edit,Netherlands Taiwan Arms Sales,0,.,0,,0,,210,Netherlands,710,,710,0,,,,1981,2,1,1984,,,,1126,1,9,5,0,1,0,0,1,9,1,1,0,0,1,0,5,1,1,1,1,1,1,2,,1981,7,9,1,1,8,1,Deng Xiaoping,3,0,0
201902710920,https://docs.google.com/document/d/1pNx0n1SqymAj3Iry3g0FMTXEY4bneCnHeKUmF8xX7rY/edit?usp=sharing,New Zealand Tourism Ban,0,.,0,,0,,920,New Zealand,710,,710,0,,2,,2019,,,,,,,,0,13,,1,0,0,0,1,8,1,1,0,0,0,0,4,1,1,1,1,1,1,2,,2019,9,5,5,0,0,0,Xi Jinping,1,0,0
20109710385,https://docs.google.com/document/d/1peDy7zJ1EBfgekb2Cs3XbM4k-YMHLBEb/edit,Nobel Prize for Liu Xiaobo,0,,0,,1,733,385,Norway,710,,710,0,,9,,2010,12,,2016,,,,2283,0,10,15,0,0,1,1,1,3,0,1,0,0,0,1,1,1,1,1,1,0,0,10,,2010,9,7,5,0,2,0,Hu Jintao,5,0,0
201711710986,https://docs.google.com/document/d/1AkW1o8atgztbWFTwG0ogq_ofxf8-Gk32YuOXnkFaiT8/edit?usp=sharing,Palau Tourism Ban,0,.,0,,0,,986,Palau,710,,710,0,,11,,2017,,,,,,,,1,7,,0,1,0,0,1,8,0,1,0,0,1,0,7,1,3,1,2,1,1,,,2017,9,2,8,0,-6,0,Xi Jinping,1,0,0
201206710002,https://docs.google.com/document/d/1n2thkV7J4j6-DebPjip4nzOrWSmzNQo9htsdgec68jI/edit?usp=sharing,Pressure on Bloomberg ,0,.,0,,0,,2,United States of America,710,,710,0,,6,29,2012,,,,,,,,0,15,,0,1,1,9,1,"8, 10",0,1,0,0,0,0,1,1,1,1,1,0,1,,,2012,9,6,4,1,1,1,Xi Jinping,1,,
201909710255,https://docs.google.com/document/d/1QLfUmNrpiK8k-dGcRoy1Qr1FAYxYvYB_XJ8YvcIXdV4/edit?usp=sharing,Retaliation against Germany Huawei Ban,0,.,0,,0,,255,Germany,710,,710,0,,,,2019,,,,,,,,0,,,,,1,,0,8,1,1,0,0,0,1,1,1,1,1,1,1,1,,,,9,5,5,0,0,0,Xi Jinping,1,0,0
201610710732,https://docs.google.com/document/d/199KDQpPKjndkzKItMS4FoGO5GLyZQ8qblnFXwG7rY7M/edit?usp=sharing,ROK THAAD Sanctions,0,.,0,,0,,732,"Korea, Republic of",710,,710,0,,10,,2016,4,,2019,,,,912,1,2,7,0,1,0,9,1,"3, 8",1,1,0,0,0,0,7,1,2,1,1,1,1,10,,2016,10,4,6,0,-2,1,Xi Jinping,6,0,0
201207710740,https://docs.google.com/document/d/1U3FnGYkxRbVKTCMql1lhgkcrtwqKRHO36d60Wu69iWU/edit,Senkaku Island Nationalization,0,,0,,0,,740,Japan,710,,2,0,,7,7,2012,,,,6,22,2020,2841,0,5,,0,0,1,1,1,10,0,1,0,1,0,0,4,1,1,1,1,0,0,9,,2012,9,5,5,0,0,0,Hu Jintao,5,0,1
196106710365,https://docs.google.com/document/d/1uBFw9nySFYheuMJMA-98sxnSQayh2N6mdXnt1winVhk/edit,Sino-Soviet Split,1,1961069901,0,,0,,365,Russia (Soviet Union),710,,710,0,,6,,1961,9,27,1979,,,,6692,1,3,2,0,0,0,,1,1,0,0,0,0,0,0,10,2,2,2,2,0,0,6,,1961,7,5,1,1,4,1,Mao Zedong,1,0,0
1978051201,https://docs.google.com/document/d/1oFXa4PQey--96hLBuTBeUG3LCex7_dHbm64pDYOx3rc/edit,Sino-Vietnam Split,1,1978051201,1,,1,909,816,"Vietnam, Democratic Republic of",710,,710,0,,5,12,1978,,,1988,,,,3521,1,8,7,0,0,1,8,1,7,0,0,0,0,0,0,9,2,2,2,2,0,0,5,30,1978,10,5,5,1,0,1,Hua Guofeng,2,0,1
201911710380,https://docs.google.com/document/d/1iYCrNLNH8u_PenImt5O49VgQwQNuGAy4MtPhoGktV3g/edit?usp=sharing,Sweden PEN Award,0,.,0,,0,,380,Sweden,710,,710,0,,11,,2019,,,,12,30,2019,59,1,10,15,0,1,0,"4, 9, 10",1,"8, 9",1,1,0,0,0,1,4,1,1,1,1,1,1,11,,2019,9,5,5,0,0,0,Xi Jinping,6,0,0
201001710002,https://docs.google.com/document/d/11495UVmqgM-7A_rCVJH6OsCObumlt0RB/edit?usp=sharing&ouid=108488118465975436409&rtpof=true&sd=true,Taiwan Arms Sales - Obama 1,0,.,0,,0,,2,United States of America,710,,710,0,,1,,2010,,,,,,,,1,13,,0,1,1,,0,0,,1,0,0,1,0,2,1,1,1,1,0,0,,,,3,4,6,0,-2,0,Hu Jintao,5,0,0
201512710002,https://docs.google.com/document/d/1y_Tu08UmkcNmliOQtJqTqmGTmnpvpojC/edit?usp=sharing&ouid=108488118465975436409&rtpof=true&sd=true,Taiwan Arms Sales - Obama 2,0,.,0,,0,,2,United States of America,710,,710,0,,6,,2017,,,,,,2020,944,1,9,1,0,1,1,4,0,0,0,1,0,1,1,0,4,1,1,1,1,1,1,6,,2017,9,5,5,0,0,0,Xi Jinping,6,0,0
201706710002,https://docs.google.com/document/d/1vATuuSmqDZvrW1NQrZ4uRxBo4UKO_0gt/edit?usp=sharing&ouid=108488118465975436409&rtpof=true&sd=true,Taiwan Arms Sales - Trump 1,0,.,0,,0,,2,United States of America,710,,710,0,,6,,2017,,,,,,2020,944,1,9,1,0,1,1,4,0,0,0,1,0,1,1,0,4,1,1,1,1,1,1,6,,2017,9,5,5,0,0,0,Xi Jinping,6,0,0
202012710002,https://drive.google.com/file/d/1DHZW8uoAh-aH6WoLEkcKxdRuM-CxSfIF/view?usp=sharing,Taiwan Arms Sales - Trump 2,0,.,0,,0,,2,United States of America,710,,710,0,,,,2020,,,,,,2023,,1,9,1,0,1,1,4,1,0,0,1,0,1,1,0,4,1,1,1,1,1,1,6,,2017,9,5,5,0,0,0,Xi Jinping,6,1,1
201908710713,https://docs.google.com/document/d/19ogOmHNb-R43jiRyu-xDYfxh6B9OsSZAyejsexee65s/edit?usp=sharing,Taiwan Tourism Ban,0,.,0,,0,,713,Taiwan,710,,710,0,,8,1,2019,,,,,,,,0,3,5,0,1,0,0,1,10,0,1,0,0,1,0,6,1,2,1,1,1,1,8,1,2019,9,4,6,0,-2,0,Xi Jinping,1,1,1
20190571002,https://docs.google.com/document/d/1eOYSUpIrwSs8u0G_lPusbZkJEUAi6fBTTOjYndue-2o/edit,Trade War - Chinese Entities List,0,.,0,,0,,2,United States of America,710,,710,0,,5,31,2019,,,,,,,,1,13,,1,0,1,4,1,3,0,1,0,0,0,0,1,1,1,1,1,1,1,,,,9,5,5,0,0,0,Xi Jinping,,1,1
201804710002,https://docs.google.com/document/d/1ekGU2OXP1x81Gk1l3cA5yk_9na48pQ-ORQvUY51kNyQ/edit?usp=sharing,Trade War - List 1 Retaliation,0,.,0,,0,,2,United States of America,710,,710,0,,4,4,2018,,,,9,22,2020,902,1,13,,1,0,1,4,1,3,1,1,0,0,1,0,4,2,2,1,1,1,1,7,6,2018,9,5,5,0,0,0,Xi Jinping,6,1,1
201807710002,https://docs.google.com/document/d/1mVXMH-NXEa-ZfrYo7pYKdVntyFfYRDEHwJmqmjv6jVI/edit?usp=sharing,Trade War - List 2 Retaliation,0,.,0,,0,,2,United States of America,710,,710,0,,6,15,2018,,,,9,22,2020,830,1,13,,1,0,1,4,1,3,1,1,0,0,1,0,5,2,2,2,2,1,1,8,23,2018,9,5,5,0,0,0,Xi Jinping,6,1,1
201809710002,https://docs.google.com/document/d/1M4Q0Exh1wFSE_b0fc9n_XdThBoVAPMm8bJjmXuq8cRg/edit?usp=sharing,Trade War - List 3 Retaliation,0,.,0,,0,,2,United States of America,710,,710,0,,8,3,2018,,,,9,22,2020,781,1,13,,1,0,1,4,1,3,1,1,0,0,1,0,6,2,2,2,2,1,1,9,24,2018,9,5,5,0,0,0,Xi Jinping,6,1,1
201908710002,https://docs.google.com/document/d/115ai8uTzYk2FFBk2RsLc9WDJhIH0wM2UCf_X1S8m_Ic/edit?usp=sharing,Trade War - List 4 Retaliation,0,.,0,,0,,2,United States of America,710,,710,0,,8,23,2019,,,,9,22,2020,812,1,13,,1,0,1,4,1,3,1,1,0,0,1,0,7,2,2,2,2,1,1,8,23,2019,9,5,5,0,0,0,Xi Jinping,6,1,1
202007710200,https://docs.google.com/document/d/1vlqJk38K0CfknnXmgcqWWmLZUofhOlcSMpOJ-daVl0E/edit?usp=sharing,UK Investment Threat,0,.,0,,0,,200,United Kingdom,710,,710,0,,6,,2020,,,,,,,,1,13,,1,0,1,"8, 10 ",0,0,0,1,0,0,0,0,4,1,1,1,1,1,1,,,,4,5,5,0,0,0,Xi Jinping,6,0,0
19939710540,https://documents-dds-ny.un.org/doc/UNDOC/GEN/N93/502/71/PDF/N9350271.pdf?OpenElement,UNSC_Angola EP1,0,.,0,,1,24,540,Angola,710,2,2,1,4400,9,15,1993,8,28,1997,,,,1443,1,2,,0,1,1,,1,,0,0,1,0,0,0,6,1,2,1,2,0,0,,,,10,5,5,1,1,1,Jiang Zemin,4,0,0
19978710540,https://documents-dds-ny.un.org/doc/UNDOC/GEN/N97/226/93/PDF/N9722693.pdf?OpenElement,UNSC_Angola EP2,0,.,0,,1,25,540,Angola,710,,2,1,4400,8,28,1997,6,12,1998,,,,288,1,2,,0,1,1,,1,,1,0,1,0,0,0,6,1,2,1,2,1,1,,,,10,5,5,1,1,1,Jiang Zemin,4,0,0
19986710540,https://documents-dds-ny.un.org/doc/UNDOC/GEN/N98/166/52/PDF/N9816652.pdf?OpenElement,UNSC_Angola EP3,0,.,0,,1,26,540,Angola,710,,2,1,4400,6,12,1998,1,12,1999,,,,214,1,2,,0,1,1,,1,,1,0,1,0,0,0,6,1,2,1,2,1,1,,,,10,6,4,1,2,1,Jiang Zemin,4,0,0
19991710540,https://documents-dds-ny.un.org/doc/UNDOC/GEN/N99/006/43/PDF/N9900643.pdf?OpenElement,UNSC_Angola EP4,0,.,0,,0,,540,Angola,710,,2,1,4400,1,12,1999,12,9,2002,,,,1427,1,2,,0,1,1,,1,,1,0,1,0,0,0,6,1,2,1,2,1,1,,,,10,7,3,1,5,1,Jiang Zemin,4,0,0
20019710700,https://documents-dds-ny.un.org/doc/UNDOC/GEN/N01/557/43/PDF/N0155743.pdf?OpenElement,UNSC_AQT EP3,0,.,0,,1,987,700,Afghanistan,710,2,2,1,4400,9,11,2001,6,17,2011,,,,3566,1,10,,0,1,1,,1,,1,0,1,0,0,0,10,1,3,1,3,1,1,,,,9,10,0,1,10,0,Jiang Zemin,4,0,0
20116710700,https://documents-dds-ny.un.org/doc/UNDOC/GEN/N11/380/14/PDF/N1138014.pdf?OpenElement,UNSC_AQT EP4,0,.,0,,0,,700,Afghanistan,710,2,2,1,4400,6,17,2011,,,,7,31,2022,4062,1,10,,0,1,1,,1,,0,0,1,0,0,0,10,1,3,1,3,1,1,,,,9,9,1,1,8,0,Hu Jintao,5,0,0
